time,n_risk,n_events,survival,lower_ci,upper_ci
0,7043,0,1.0,1.0,1.0
1,7032,380,0.9459613196814562,0.9406767978446607,0.9512458415182518
2,6419,123,0.9278349382636624,0.9217578100633155,0.9339120664640093
3,6181,94,0.9137245217943558,0.9071041007369122,0.9203449428517995
4,5981,83,0.901044512546917,0.893976246768459,0.908112778325375
5,5805,64,0.8911105161984239,0.8837130134479568,0.8985080189488909
6,5672,40,0.8848262389332727,0.8772288701940479,0.8924236076724975
7,5562,51,0.8767129454802708,0.8688657020983929,0.8845601888621487
8,5431,42,0.8699329889878805,0.8618829897841153,0.8779829881916458
9,5308,46,0.8623940067924316,0.854124205713095,0.8706638078717682
10,5189,45,0.8549151610985293,0.8464332911481856,0.863397031048873
11,5073,31,0.8496909604294864,0.8410638508083813,0.8583180700505916
12,4974,38,0.8431995538158313,0.8343949197163428,0.8520041879153198
13,4857,38,0.8366025632774328,0.8276204390246336,0.845584687530232
14,4748,24,0.8323737381892571,0.8232790698062431,0.8414684065722711
15,4672,37,0.8257817372660973,0.816514369552218,0.8350491049799765
16,4573,28,0.8207255621855264,0.8113276031276347,0.830123521243418
17,4493,26,0.8159762043807581,0.8064569656995376,0.8254954430619786
18,4406,24,0.8115314860636591,0.8018994365273242,0.821163535599994
19,4309,19,0.8079531388287532,0.7982300969349952,0.8176761807225111
20,4236,18,0.8045199101935036,0.7947096733890778,0.8143301469979293
21,4165,17,0.8012361554580198,0.7913425474470971,0.8111297634689426
22,4102,27,0.7959622948540788,0.785935806693609,0.8059887830145486
23,4012,13,0.7933831548159175,0.7832916056930465,0.8034747039387885
24,3927,23,0.7887363983705988,0.7785268295372166,0.798945967203981
25,3833,23,0.7840035684299456,0.7736736605214528,0.7943334763384383
26,3754,15,0.7808708956738323,0.7704613207392633,0.7912804706084012
27,3675,13,0.7781086312809725,0.7676281369426388,0.7885891256193063
28,3603,12,0.7755170954565563,0.7649694326267741,0.7860647582863386
29,3546,15,0.7722365662879583,0.761603670085876,0.7828694624900406
30,3474,16,0.7686799211927922,0.75795412627433,0.7794057161112543
31,3402,16,0.7650647304993516,0.7542440855712622,0.7758853754274411
32,3337,19,0.7607086532205121,0.7497737724308323,0.7716435340101918
33,3268,14,0.7574498034209138,0.7464293223638607,0.768470284477967
34,3204,12,0.7546129127713973,0.7435174304416015,0.7657083951011932
35,3139,15,0.7510069256125662,0.7398154004655921,0.7621984507595403
36,3051,10,0.7485454148763729,0.7372870603496565,0.7598037694030894
37,3001,15,0.7448039349619625,0.733443747304443,0.7561641226194821
38,2936,13,0.7415060973752781,0.7300556310720091,0.752956563678547
39,2877,14,0.7378977951982694,0.7263480981096144,0.7494474922869243
40,2821,13,0.7344973445291529,0.722853886615241,0.7461408024430649
41,2757,14,0.7307675792685768,0.7190204690733399,0.7425146894638137
42,2687,14,0.7269600816467829,0.7151060685605223,0.7388140947330436
43,2622,15,0.7228012711110462,0.7108296932430351,0.7347728489790573
44,2557,6,0.7211052180697219,0.7090850542604431,0.7331253818790008
45,2506,6,0.7193787091677194,0.7073081971485672,0.7314492211868716
46,2445,12,0.7158480161165895,0.7036725595543215,0.7280234726788576
47,2371,14,0.7116211615296506,0.6993179166211202,0.723924406438181
48,2303,9,0.7088401843460784,0.6964515887800661,0.7212287799120908
49,2239,15,0.7040913666751579,0.6915548357114638,0.716627897638852
50,2173,10,0.7008511855123639,0.6882125121834796,0.7134898588412483
51,2105,8,0.6981876180614855,0.6854629137367018,0.7109123223862693
52,2037,8,0.6954455950155887,0.6826297814664675,0.7082614085647099
53,1957,14,0.6904705115561005,0.6774841056050568,0.7034569175071442
54,1887,13,0.6857136929815222,0.6725618288529993,0.698865557110045
55,1819,9,0.6823209369414817,0.6690486679243534,0.69559320595861
56,1755,10,0.6784330683549205,0.6650194524000964,0.6918466843097445
57,1675,8,0.6751927910135238,0.6616566083859804,0.6887289736410672
58,1610,11,0.6705796725656054,0.6568641949524782,0.6842951501787325
59,1543,8,0.6671029147039561,0.6532485566713713,0.6809572727365409
60,1483,6,0.6644039143747426,0.6504382977294456,0.6783695310200395
61,1407,8,0.6606262091046659,0.646496777795869,0.6747556404134627
62,1331,5,0.6581445178608467,0.6439016999469988,0.6723873357746947
63,1261,4,0.6560568270825411,0.6417129950130233,0.6704006591520589
64,1189,4,0.6538497393547613,0.6393920038091724,0.6683074749003503
65,1109,9,0.6485434745628832,0.6337932846510967,0.6632936644746696
66,1033,13,0.640381746422208,0.6251645304258973,0.6555989624185188
67,944,10,0.6335980414812948,0.617971945001016,0.6492241379615736
68,846,9,0.6268576367846853,0.6107892250618467,0.6429260485075239
69,746,8,0.6201353028781471,0.6035777276334509,0.6366928781228434
70,651,11,0.6096568261782092,0.5922595711823864,0.6270540811740319
71,532,6,0.6027809973115377,0.5847309426567632,0.6208310519663122
72,362,6,0.5927901520522304,0.5733493689855353,0.6122309351189255
